"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>bibl-</b><sup id=""cite_ref-46"" class=""reference""><a href=""#cite_note-46"">[46]</a></sup>"|"<a href=""/wiki/Book"" title=""Book"">book</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AF%CE%B2%CE%BB%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βίβλος"">βίβλος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bíblos</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%B9%CE%B2%CE%BB%CE%AF%CE%BF%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:βιβλίον"">βιβλίον</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>biblíon</i></span>) ""book"""|"bible, <a href=""/wiki/Biblioclasm"" class=""mw-redirect"" title=""Biblioclasm"">biblioclasm</a>, <a href=""/wiki/Biblioclast"" class=""mw-redirect"" title=""Biblioclast"">biblioclast</a>, bibliogony, bibliographic, <a href=""/wiki/Bibliography"" title=""Bibliography"">bibliography</a>, biblioklept, <a href=""/wiki/Bibliomancy"" title=""Bibliomancy"">bibliomancy</a>, <a href=""/wiki/Bibliomania"" title=""Bibliomania"">bibliomania</a>, bibliophile, <a href=""/wiki/Bibliophilia"" title=""Bibliophilia"">bibliophilia</a>, bibliophobe, <a href=""/wiki/Bibliophobia"" title=""Bibliophobia"">bibliophobia</a>, bibliotaph
"|
"<b>bio-</b>, <b>bi-</b><sup id=""cite_ref-47"" class=""reference""><a href=""#cite_note-47"">[47]</a></sup>"|"<a href=""/wiki/Life"" title=""Life"">life</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%B9%CF%8C%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:βιόω"">βιοῦν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bioûn</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AF%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βίος"">βίος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bíos</i></span>) ""life"", <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βιωτός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>biōtós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βιωτικός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>biōtikós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βίωσις</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bíōsis</i></span>)"|"<a href=""/wiki/Abiogenesis"" title=""Abiogenesis"">abiogenesis</a>, abiotic, <a href=""/wiki/Aerobiology"" title=""Aerobiology"">aerobiology</a>, <a href=""/wiki/Anhydrobiosis"" class=""mw-redirect"" title=""Anhydrobiosis"">anhydrobiosis</a>, anoxybiosis, antibiotic, <a href=""/wiki/Astrobiology"" title=""Astrobiology"">astrobiology</a>, <a href=""/wiki/Autobiography"" title=""Autobiography"">autobiography</a>, biocentrism, <a href=""/wiki/Biochron"" title=""Biochron"">biochron</a>, <a href=""/wiki/Biocoenosis"" title=""Biocoenosis"">biocoenosis</a>, <a href=""/wiki/Biogenesis"" title=""Biogenesis"">biogenesis</a>, biographic, <a href=""/wiki/Biography"" title=""Biography"">biography</a>, biologism, biologist, <a href=""/wiki/Biology"" title=""Biology"">biology</a>, biome, biometric, biomorph, <a href=""/wiki/Biomorphism"" title=""Biomorphism"">biomorphism</a>, <a href=""/wiki/Biophilia_hypothesis"" title=""Biophilia hypothesis"">biophilia</a>, <a href=""/wiki/Biophysicist"" class=""mw-redirect"" title=""Biophysicist"">biophysicist</a>, <a href=""/wiki/Biophysics"" title=""Biophysics"">biophysics</a>, <a href=""/wiki/Biopoiesis"" class=""mw-redirect"" title=""Biopoiesis"">biopoiesis</a>, <a href=""/wiki/Biopolymer"" title=""Biopolymer"">biopolymer</a>, <a href=""/wiki/Biopsy"" title=""Biopsy"">biopsy</a>, <a href=""/wiki/Biorhythm_(pseudoscience)"" title=""Biorhythm (pseudoscience)"">biorhythm</a>, <a href=""/wiki/Biosemiotics"" title=""Biosemiotics"">biosemiotic</a>, <a href=""/wiki/Biosphere"" title=""Biosphere"">biosphere</a>, <a href=""/wiki/Biostasis"" title=""Biostasis"">biostasis</a>, <a href=""/wiki/Biosynthesis"" title=""Biosynthesis"">biosynthesis</a>, biota, biotic, <a href=""/wiki/Biotin"" title=""Biotin"">biotin</a>, <a href=""/wiki/Biotope"" title=""Biotope"">biotope</a>, biotype, <a href=""/wiki/Biozone"" title=""Biozone"">biozone</a>, <a href=""/wiki/Cryptobiosis"" title=""Cryptobiosis"">chemobiosis</a>, <a href=""/wiki/Cryobiosis"" class=""mw-redirect"" title=""Cryobiosis"">cryobiosis</a>, <a href=""/wiki/Cryptobiosis"" title=""Cryptobiosis"">cryptobiosis</a>, <a href=""/wiki/Ectosymbiosis"" title=""Ectosymbiosis"">ectosymbiosis</a>, <a href=""/wiki/Endosymbiont"" title=""Endosymbiont"">endosymbiont</a>, <a href=""/wiki/Endosymbiosis"" class=""mw-redirect"" title=""Endosymbiosis"">endosymbiosis</a>, enterobiasis, exobiology, macrobiotic, <a href=""/wiki/Microbiology"" title=""Microbiology"">microbiology</a>, <a href=""/wiki/Osmobiosis"" class=""mw-redirect"" title=""Osmobiosis"">osmobiosis</a>, <a href=""/wiki/Probiotic"" title=""Probiotic"">probiotic</a>, <a href=""/wiki/Symbiogenesis"" title=""Symbiogenesis"">symbiogenesis</a>, <a href=""/wiki/Symbiology"" class=""mw-redirect"" title=""Symbiology"">symbiology</a>, <a href=""/wiki/Symbiont"" class=""mw-redirect"" title=""Symbiont"">symbiont</a>, <a href=""/wiki/Symbiosis"" title=""Symbiosis"">symbiosis</a>, symbiotic
"|
"<b>blast-</b><sup id=""cite_ref-48"" class=""reference""><a href=""#cite_note-48"">[48]</a></sup>"|"<a href=""/wiki/Germ_cell"" title=""Germ cell"">germ</a>, embryo, bud, cell with nucleus"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%BB%CE%B1%CF%83%CF%84%CE%B1%CE%AF%CE%BD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:βλασταίνω"">βλαστάνειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>blastánein</i></span>), ""I put forth shoots"", <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βλαστός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>blastós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βλάστημα</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>blástēma</i></span>)"|"blastema, blastochyle, <a href=""/wiki/Blastocoel"" title=""Blastocoel"">blastocoel</a>, blastocoele, <a href=""/wiki/Blastocyst"" title=""Blastocyst"">blastocyst</a>, <a href=""/wiki/Blastoderm"" title=""Blastoderm"">blastoderm</a>, <a href=""/wiki/Blastoma"" title=""Blastoma"">blastoma</a>, <a href=""/wiki/Blastula"" class=""mw-redirect"" title=""Blastula"">blastula</a>, <a href=""/wiki/Cytotrophoblast"" title=""Cytotrophoblast"">cytotrophoblast</a>, <a href=""/wiki/Diploblasty"" title=""Diploblasty"">diploblasty</a>, ectoblast, endoblast, entoblast, <a href=""/wiki/Fibroblast"" title=""Fibroblast"">fibroblast</a>, <a href=""/wiki/Osteoblast"" title=""Osteoblast"">osteoblast</a>, sideroblast
"|
"<b>blenn-</b>"|"slime"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%BB%CE%AD%CE%BD%CE%BD%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βλέννος"">βλέννος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>blénnos</i></span>)"|"blennadenitis, blennophobia, <a href=""/wiki/Blennosperma"" title=""Blennosperma"">blennosperma</a>, blennorrhagia
"|
"<b><a href=""#bal-"">bol-</a></b>"|"throw"|"Greek"|""|"
"|
"<b>bol-</b><sup id=""cite_ref-49"" class=""reference""><a href=""#cite_note-49"">[49]</a></sup>"|"clod, lump"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%E1%BF%B6%CE%BB%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βῶλος"">βῶλος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bôlos</i></span>)"|"<a href=""/wiki/Bole_(color)"" title=""Bole (color)"">bole</a>, bolus, <a href=""/wiki/Embolism"" title=""Embolism"">embolism</a>
"|
"<b>bomb-</b><sup id=""cite_ref-50"" class=""reference""><a href=""#cite_note-50"">[50]</a></sup>"|"boom"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%BF%CE%BC%CE%B2%CE%AD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:βομβέω"">βομβεῖν</a></span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βόμβος</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βόμβησις</span>"|"bomb, bound
"|
"<b>bon-</b>"|"good"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bonus#Latin"" class=""extiw"" title=""wikt:bonus"">bonus</a></i>"|"bonify, bonitary
"|
"<b>bore-</b>"|"<a href=""/wiki/North"" title=""North"">north</a>"|"Latin from Greek"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/borealis#Latin"" class=""extiw"" title=""wikt:borealis"">borealis</a></i> ""northern"" from <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%92%CE%BF%CF%81%CE%AD%CE%B1%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:Βορέας"">Βορέας</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>Boréas</i></span>) ""the north wind"""|"borealis
"|
"<b>botan-</b>"|"<a href=""/wiki/Plant"" title=""Plant"">plant</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%BF%CF%84%CE%AC%CE%BD%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:βοτάνη"">βοτάνη</a></span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βότανον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>botánē, bótanon</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βοτανικός</span>"|"botanic, botanist, botanology, <a href=""/wiki/Botany"" title=""Botany"">botany</a>
"|
"<b>bov-</b>, <b>bu-</b>"|"cow, <a href=""/wiki/Ox"" title=""Ox"">ox</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bos#Latin"" class=""extiw"" title=""wikt:bos"">bos</a></i> (genitive <i>bovis</i>) ""ox, cow"""|"beef, boor, bovine, <a href=""/wiki/Buccinator_muscle"" title=""Buccinator muscle"">bucinator muscle</a>
"|
"<b>brachi-</b>, <b>brachio-</b>"|"<a href=""/wiki/Arm"" title=""Arm"">arm</a>"|"Latin from Greek"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bracchium#Latin"" class=""extiw"" title=""wikt:bracchium"">bracchium</a></i>"|"brachiferous, <a href=""/wiki/Brachial_artery"" title=""Brachial artery"">brachial artery</a>, brachiocubital
"|
"<b>brachi-</b>, <b>brachio-</b>, <b>brachion-</b>, <b>brachioni-</b>"|"<a href=""/wiki/Arm"" title=""Arm"">arm</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CE%B1%CF%87%CE%AF%CF%89%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:βραχίων"">βραχίων</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brakhíōn</i></span>)"|"brachialgia, brachionerysipelas, brachionigraph, brachiorrhachidian, <a href=""/wiki/Brachiosaurus"" title=""Brachiosaurus"">brachiosaurus</a>
"|
"<b>brachy-</b><sup id=""cite_ref-51"" class=""reference""><a href=""#cite_note-51"">[51]</a></sup>"|"short"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CE%B1%CF%87%CF%8D%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βραχύς"">βραχύς</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brakhús</i></span>)"|"<a href=""/wiki/Amphibrach"" title=""Amphibrach"">amphibrach</a>, <a href=""/wiki/Brachistochrone_curve"" title=""Brachistochrone curve"">brachistochrone</a>, <a href=""/wiki/Brachycephaly"" title=""Brachycephaly"">brachycephaly</a>, <a href=""/wiki/Brachydactyly"" title=""Brachydactyly"">brachydactyly</a>, <a href=""/wiki/Brachyury"" title=""Brachyury"">brachyury</a>, <a href=""/wiki/Dibrach"" class=""mw-redirect"" title=""Dibrach"">dibrach</a>, <a href=""/wiki/Tribrach_(poetry)"" title=""Tribrach (poetry)"">tribrach</a>
"|
"<b>brady-</b>, <b>bradys-</b><sup id=""cite_ref-52"" class=""reference""><a href=""#cite_note-52"">[52]</a></sup>"|"slow"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CE%B1%CE%B4%CF%8D%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βραδύς"">βραδύς</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bradús</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CE%AC%CE%B4%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βράδος"">βράδος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brádos</i></span>)"|"<a href=""/wiki/Bradycardia"" title=""Bradycardia"">bradycardia</a>, bradysuria, bradytelic
"|
"<b>branchi-</b>"|"<a href=""/wiki/Gill"" title=""Gill"">gill</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CE%AC%CE%B3%CF%87%CE%B9%CE%BF%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:βράγχιον"">βράγχιον</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bránkhion</i></span>)"|"branchiopneustic, <a href=""/wiki/Branchiopod"" class=""mw-redirect"" title=""Branchiopod"">branchiopod</a>, <a href=""/wiki/Nudibranch"" title=""Nudibranch"">nudibranch</a>
"|
"<b>brev-</b>"|"brief, short (time)"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/brevis#Latin"" class=""extiw"" title=""wikt:brevis"">brevis</a></i>, <i><i lang=""la"" title=""Latin language text"">breviare</i></i>"|"abbreviate, brevextensor, brevicaudate, brevity, brief
"|
"<b>bromat-</b>, <b>bromato-</b>, <b>broma-</b>, <b>bromo-</b>"|"food"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%E1%BF%B6%CE%BC%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:βρῶμα"">βρῶμα</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brôma</i></span>)"|"bromatium, bromateccrisis, bromatherapy, <a href=""/wiki/Bromatology"" class=""mw-redirect"" title=""Bromatology"">bromatology</a>, bromography
"|
"<b>brom-</b><sup id=""cite_ref-53"" class=""reference""><a href=""#cite_note-53"">[53]</a></sup>"|"<a href=""/wiki/Oats"" class=""mw-redirect"" title=""Oats"">oats</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CF%8C%CE%BC%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βρόμος"">βρόμος</a></span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βρόμη</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brómos, brómē</i></span>) ""oats"""|"brome, <a href=""/wiki/Bromus"" title=""Bromus"">Bromus</a>, <a href=""/wiki/Bromus_ramosus"" title=""Bromus ramosus"">Bromus ramosus</a>
"|
"<b>brom-</b>"|"<a href=""/wiki/Stench"" class=""mw-redirect"" title=""Stench"">stench</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%E1%BF%B6%CE%BC%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βρῶμος"">βρῶμος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brômos</i></span>) ""stench, clangor"""|"bromate, <a href=""/wiki/Bromide"" title=""Bromide"">bromide</a>, <a href=""/wiki/Bromine"" title=""Bromine"">bromine</a>, <a href=""/wiki/Bromoderma"" title=""Bromoderma"">bromoderma</a>, <a href=""/wiki/Organobromine_compound"" title=""Organobromine compound"">organobromine</a>
"|
"<b>bronch-</b><sup id=""cite_ref-54"" class=""reference""><a href=""#cite_note-54"">[54]</a></sup>"|"<a href=""/wiki/Windpipe"" class=""mw-redirect"" title=""Windpipe"">windpipe</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CF%8C%CE%B3%CF%87%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βρόγχος"">βρόγχος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brónkhos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βρόγχια</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brónkhia</i></span>)"|"<a href=""/wiki/Bronchia"" class=""mw-redirect"" title=""Bronchia"">bronchia</a>, bronchiole, <a href=""/w/index.php?title=Bronchion&amp;action=edit&amp;redlink=1"" class=""new"" title=""Bronchion (page does not exist)"">bronchion</a>, <a href=""/wiki/Bronchitis"" title=""Bronchitis"">bronchitis</a>, <a href=""/wiki/Bronchomalacia"" title=""Bronchomalacia"">bronchomalacia</a>, bronchopneumonia, bronchus, tracheobronchomalacia
"|
"<b>bront-</b><sup id=""cite_ref-55"" class=""reference""><a href=""#cite_note-55"">[55]</a></sup>"|"<a href=""/wiki/Thunder"" title=""Thunder"">thunder</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CE%BF%CE%BD%CF%84%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:βροντή"">βροντή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brontḗ</i></span>)"|"brontology, <a href=""/wiki/Brontophobia"" class=""mw-redirect"" title=""Brontophobia"">brontophobia</a>, <i><a href=""/wiki/Brontosaurus"" title=""Brontosaurus"">Brontosaurus</a></i>
"|
"<b>brot-</b><sup id=""cite_ref-56"" class=""reference""><a href=""#cite_note-56"">[56]</a></sup>"|"mortal"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%81%CE%BF%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βροτός"">βροτός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>brotós</i></span>)"|"<a href=""/wiki/Ambrosia"" title=""Ambrosia"">ambrosia</a>, <a href=""/wiki/Ambrotype"" title=""Ambrotype"">ambrotype</a>
"|
"<b>bucc-</b>"|"cheek, <a href=""/wiki/Mouth"" title=""Mouth"">mouth</a>, cavity"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bucca#Latin"" class=""extiw"" title=""wikt:bucca"">bucca</a></i>"|"buccal, buccilingual, buccolingual
"|
"<b>bulb-</b>"|"bulbous"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bulbus#Latin"" class=""extiw"" title=""wikt:bulbus"">bulbus</a></i>"|"bulbiform, bulbiparous, bulboartrial, bulborrhexis, bulbous, bulbule
"|
"<b>bull-</b>"|"bubble, <a href=""/wiki/Laboratory_flask"" title=""Laboratory flask"">flask</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bullire#Latin"" class=""extiw"" title=""wikt:bullire"">bullire</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/bulla#Latin"" class=""extiw"" title=""wikt:bulla"">bulla</a></i>"|"bullectomy, bulliferous, ebullient, <a href=""/wiki/Ebullism"" title=""Ebullism"">ebullism</a>
"|
"<b>burs-</b>"|"pouch, <a href=""/wiki/Wallet"" title=""Wallet"">purse</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bursa#Latin"" class=""extiw"" title=""wikt:bursa"">bursa</a></i>"|"bursa, bursalogy, <a href=""/wiki/Bursar"" title=""Bursar"">bursar</a>, <a href=""/wiki/Bursary"" title=""Bursary"">bursary</a>, bursectomy, bursiform, disburse
"|
"<b>butyr-</b><sup id=""cite_ref-57"" class=""reference""><a href=""#cite_note-57"">[57]</a></sup>"|"butter"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%BF%CF%8D%CF%84%CF%85%CF%81%CE%BF%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:βούτυρον"">βούτυρον</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>boúturon</i></span>)"|"butyric
"|
"<b>byss-</b><sup id=""cite_ref-58"" class=""reference""><a href=""#cite_note-58"">[58]</a></sup>"|"bottom"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%85%CF%83%CF%83%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βυσσός"">βυσσός, βυσσοῦ</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bussós, bussoû</i></span>)"|"abyss, <a href=""/wiki/Abyssopelagic"" class=""mw-redirect"" title=""Abyssopelagic"">abyssopelagic</a>, <a href=""/wiki/Hypabyssal"" class=""mw-redirect"" title=""Hypabyssal"">hypabyssal</a>
"|
"<b>byss-</b><sup id=""cite_ref-59"" class=""reference""><a href=""#cite_note-59"">[59]</a></sup>"|"flax"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CF%8D%CF%83%CF%83%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βύσσος"">βύσσος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bússos</i></span>)"|"<a href=""/wiki/Byssus"" title=""Byssus"">byssus</a>
"|
"<b>cac-</b>, <b>kak-</b><sup id=""cite_ref-60"" class=""reference""><a href=""#cite_note-60"">[60]</a></sup>"|"bad"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BA%CE%B1%CE%BA%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:κακός"">κακός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>kakós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">κάκιστος</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>kákistos</i></span>)"|"<a href=""/wiki/Cachexia"" title=""Cachexia"">cachexia</a>, cacistocracy, <a href=""/wiki/Cacodemon"" title=""Cacodemon"">cacodemon</a>, cacoepy, <a href=""/wiki/Cacography"" title=""Cacography"">cacography</a>, cacophonous, <a href=""/wiki/Cacophony"" class=""mw-redirect"" title=""Cacophony"">cacophony</a>, cacorrhacitis, <a href=""/wiki/Kakistocracy"" title=""Kakistocracy"">kakistocracy</a>, <a href=""/wiki/Kakistocrat"" class=""mw-redirect"" title=""Kakistocrat"">kakistocrat</a>
"|
